"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000213169.3",53.4726345129968,0.33226427908606,0.283135662180949,16.0391287652398,0.00673324293206993,0.00989198382910206
"ENSG00000257740.1",21.6107836208613,0.553193656039619,0.350900480205202,16.0378180522297,0.00673692702620941,0.0098968848408177
"ENSG00000268938.2",3.50291846376901,-0.402240119778948,0.568709180562557,16.0368395252492,0.00673967870647598,0.00990041565396668
"ENSG00000280734.3",15.0670725270789,-1.23345010160323,0.376520404531773,16.0303718864552,0.00675789366751133,0.00992666009271969
"ENSG00000243323.7",3.21975970522552,-0.956257158118253,0.599286874419646,16.0299388828647,0.00675911485653926,0.00992794098264836
"ENSG00000250240.6",4.1739171231184,0.142304115652917,0.615084222681845,16.0147650018804,0.00680204536487951,0.00999048216831564
"ENSG00000112077.16",1.50751497556781,1.13293698170229,0.645477933534785,16.0136284588127,0.00680527158366196,0.00999418810261761
"ENSG00000165474.8",2.26973120383914,-0.525177404435433,0.639400139292098,16.0136901989142,0.00680509628843636,0.00999418810261761
"ENSG00000227712.2",1.86958425794673,-1.06772225133512,0.656129371411654,16.0096106370616,0.00681668862066446,0.0100099210237957
"ENSG00000234688.1",1.45835822585657,-0.781330858748199,0.638303522906902,16.0097230089923,0.00681636905131724,0.0100099210237957
"ENSG00000224017.2",1.76931480792119,0.645478355241454,0.636691480393463,16.0072774609718,0.0068233271300016,0.0100187367006572
"ENSG00000277363.5",1.23083210868065,-0.311837731098526,0.643004752488783,16.0072529906954,0.00682339678782801,0.0100187367006572
"ENSG00000134255.14",380.757778881215,0.128562525400411,0.113017198967077,16.0017286811859,0.00683914019280055,0.0100413340543096
"ENSG00000278995.1",3.2916466220259,-1.01477353599549,0.626421757704976,15.999370633172,0.00684587102265132,0.0100506973518549
"ENSG00000225489.7",1.45940733594124,1.37590927351136,0.642894002921972,15.9958353398115,0.00685597427792843,0.0100650106196138
"ENSG00000279086.1",1.66014504496255,-1.16491349400358,0.658309914334988,15.9930157860297,0.00686404248072926,0.0100763349758413
"ENSG00000235790.7",3.70465002984042,-1.54872142852511,0.603402515267375,15.9881315924316,0.00687804057324818,0.0100963627228351
"ENSG00000269373.1",2.03201088643086,-0.338034788739887,0.655376771424919,15.9691434585335,0.00693272513034187,0.0101761094943666
"ENSG00000262370.6",1.5719302008725,-0.39172137303697,0.650956754402154,15.9689036392568,0.0069334184939408,0.0101766018594665
"ENSG00000228409.6",102.397683245572,0.108979980709492,0.160495571220481,15.9678518400871,0.00693646024498325,0.0101805408675079
"ENSG00000247570.2",19.7111159713507,0.453993319545853,0.347236537661869,15.9548772399024,0.00697408918912318,0.0102352399641331
"ENSG00000245768.7",2.73862683554643,-1.391577682707,0.635943291933361,15.9513806625144,0.00698426391853059,0.010249643425811
"ENSG00000259165.1",5.19046966216703,0.501823625676204,0.485468600763417,15.9499381921593,0.0069884655890252,0.0102552801872085
"ENSG00000257885.1",2.0757013928371,-0.364969907850687,0.653936930396718,15.9459306185725,0.00700015189004812,0.0102718991813505
"ENSG00000226791.7",1.58152420300637,-1.24682869879063,0.660526647617368,15.9445068459342,0.00700430826699255,0.0102774677528581
"ENSG00000242670.1",3.4203415874504,-1.08600213865777,0.579904585686798,15.9368019702632,0.00702684260025498,0.0103100004546625
"ENSG00000236529.2",14.2176081129567,0.195002820577528,0.362215186459979,15.9346027952539,0.0070332874326418,0.010318924004586
"ENSG00000222047.8",1.56763672252228,-1.21354355745649,0.658212662304229,15.9304646214536,0.00704543024041341,0.0103362060162763
"ENSG00000229241.1",18.2452902233811,-0.398898790184727,0.314005918390285,15.9266837720193,0.00705654237902301,0.0103519742490265
"ENSG00000160868.15",1.75567769508934,-0.802823608399748,0.662429593908288,15.9255514201352,0.00705987374697899,0.0103563270237389
"ENSG00000285621.1",1.90044007274331,-1.21556170531752,0.657693440119519,15.9248702227698,0.00706187856042348,0.0103587334896538
"ENSG00000281469.1",1.91983093104622,-0.65781393592084,0.661683579336658,15.9115256699732,0.00710126452022432,0.010415969502632
"ENSG00000213120.3",1.49688974668105,0.582384251534758,0.655234006228667,15.9104923671178,0.00710432318102561,0.0104199183225649
"ENSG00000228430.9",1.32429854650244,-1.37113099309892,0.656078597533275,15.9090872294492,0.00710848456123056,0.0104254840113952
"ENSG00000229334.1",9.12287144984235,0.855169596795711,0.480195845472692,15.9052398889841,0.00711989078573768,0.0104416740506573
"ENSG00000283023.1",2.58873374397727,0.879324877879126,0.562906464437048,15.9045655159535,0.00712189193642193,0.010444070122568
"ENSG00000281013.4",32.0035918172268,0.65480663491646,0.312318820973253,15.8982261936577,0.00714073017944769,0.0104711558338262
"ENSG00000174137.12",4.54243290509575,0.235262289830981,0.513295114515923,15.8979172487007,0.00714164949411454,0.0104719638172596
"ENSG00000259306.2",1.43916932881288,0.808117859145613,0.651097005155711,15.8951010300454,0.00715003491277568,0.0104837188716434
"ENSG00000106384.12",1.59875103133236,-1.06809913636513,0.664238439676329,15.889081500909,0.00716799048459825,0.0105095042006032
"ENSG00000272686.1",104.206406842103,-0.28493683230249,0.154919696498082,15.8877071094934,0.00717209628920598,0.0105149817818133
"ENSG00000007520.4",348.895399418206,-0.153591896633921,0.108494112547111,15.8851591084916,0.00717971414774434,0.0105256075409233
"ENSG00000223843.5",1.69065366721919,-0.703540830967916,0.655783230882299,15.8798519802461,0.00719560637399711,0.0105478181287629
"ENSG00000262497.1",1.11661173085953,-0.0834705430555888,0.663456503032818,15.8798829414514,0.00719551356126135,0.0105478181287629
"ENSG00000118702.9",1.32190526953254,1.84969495445604,0.647362086532475,15.8709289351608,0.00722240370330908,0.0105865536986381
"ENSG00000286085.1",2.35602763101571,-0.669152867129856,0.649326053022002,15.8697495486596,0.00722595284962562,0.0105912099917804
"ENSG00000168828.5",2.60560008611125,-1.40104365826173,0.668504282796546,15.8545696827664,0.00727178568066783,0.0106578385727485
"ENSG00000241057.2",1.63285250242312,0.500944172872915,0.644603509518379,15.8532293444391,0.00727584615591011,0.0106632400981874
"ENSG00000184616.9",8.06389623159924,0.40165386342051,0.498984208328343,15.8499506447107,0.00728578808590107,0.0106772602885593
"ENSG00000241462.1",1.43210571757255,0.0886490729295302,0.640254139465523,15.847099081592,0.00729444556884271,0.0106893967845241
"ENSG00000260774.1",10.9148287750705,0.505069181656032,0.368433994305772,15.8428529578602,0.00730735556347903,0.0107077634067328
"ENSG00000174236.4",2.61659913990459,0.630879633085875,0.604528058827481,15.8423859195473,0.00730877691240297,0.0107092942266255
