genes;day
GSPT1;Day 0
SALL1;Day 0
QPRT;Day 0
MAZ;Day 0
BCKDK;Day 0
NOMO1;Day 0
IL21R;Day 0
TMC5;Day 0
AAGAB;Day 0
LACTB;Day 0
MTFMT;Day 0
AP3B2;Day 0
FAH;Day 0
CEMIP;Day 0
ZNF106;Day 0
GABPB1;Day 0
BMF;Day 0
DMXL2;Day 0
SCG3;Day 0
SPG11;Day 0
BLOC1S6;Day 0
MYEF2;Day 0
RIPK2;Day 0
NBN;Day 0
DECR1;Day 0
CALB1;Day 0
IMPAD1;Day 0
SFRP1;Day 0
LAPTM4B;Day 0
JPH1;Day 0
GDAP1;Day 0
EIF3E;Day 0
SQLE;Day 0
SH2D4A;Day 0
INTS10;Day 0
ERI1;Day 0
SLC39A14;Day 0
PPP2CB;Day 0
NEFM;Day 0
BNIP3L;Day 0
MAN2B1;Day 0
NUCB1;Day 0
DHDH;Day 0
GYS1;Day 0
SNRNP70;Day 0
PPP1R37;Day 0
ARHGEF18;Day 0
PPP1R13L;Day 0
DOT1L;Day 0
SF3A2;Day 0
TRMT1;Day 0
TBC1D17;Day 0
PTOV1;Day 0
TLE5;Day 0
MED25;Day 0
TIMM44;Day 0
FAM32A;Day 0
RASAL3;Day 0
SLC1A6;Day 0
CCNE1;Day 0
URI1;Day 0
ANKRD27;Day 0
TIMM50;Day 0
CLC;Day 0
CNTD2;Day 0
GPI;Day 0
AKT2;Day 0
PLD3;Day 0
NUMBL;Day 0
SLC1A5;Day 0
TJP3;Day 0
APLP1;Day 0
CACTIN;Day 0
HNRNPUL1;Day 0
TGFB1;Day 0
DMAC2;Day 0
PLIN3;Day 0
MYH14;Day 0
MRPL4;Day 0
NOP53;Day 0
TYK2;Day 0
RABAC1;Day 0
MEIS3;Day 0
PTPRS;Day 0
MEGF8;Day 0
KDELR1;Day 0
CYTH2;Day 0
GRWD1;Day 0
GRIN2D;Day 0
CARD8;Day 0
PLA2G4C;Day 0
PLPPR2;Day 0
FAM83E;Day 0
RASIP1;Day 0
FGF21;Day 0
MIER2;Day 0
PPP2R1A;Day 0
TNPO2;Day 0
CACNG7;Day 0
MAST1;Day 0
ISYNA1;Day 0
CRTC1;Day 0
ARMC6;Day 0
TMEM59L;Day 0
USF2;Day 0
LSR;Day 0
FKBP8;Day 0
ZNF14;Day 0
ERF;Day 0
GRIK5;Day 0
CADM4;Day 0
GTPBP10;Day 0
CDK6;Day 0
TFPI2;Day 0
BET1;Day 0
TWISTNB;Day 0
PON3;Day 0
ITGB8;Day 0
SP4;Day 0
WDR91;Day 0
DNAH11;Day 0
STEAP1B;Day 0
OGDH;Day 0
CAV1;Day 0
LMBR1;Day 0
DNAJB6;Day 0
LFNG;Day 0
BRAT1;Day 0
VIPR2;Day 0
GRB10;Day 0
ABHD11;Day 0
GARS;Day 0
NSUN5P2;Day 0
CHCHD2;Day 0
HSPB1;Day 0
ZKSCAN1;Day 0
EIF3B;Day 0
PTPRZ1;Day 0
WASL;Day 0
PCOLCE;Day 0
PPP1R17;Day 0
USP42;Day 0
IMPDH1;Day 0
AP1S1;Day 0
RPA3;Day 0
TMEM106B;Day 0
ZNF862;Day 0
MEST;Day 0
POU6F2;Day 0
AHR;Day 0
CHCHD3;Day 0
GLI3;Day 0
MRPL32;Day 0
BLVRA;Day 0
STAG3L4;Day 0
AEBP1;Day 0
GCK;Day 0
CLIP2;Day 0
EIF4H;Day 0
LIMK1;Day 0
SLC1A1;Day 0
CNTNAP3;Day 0
TRIM14;Day 0
PTGR1;Day 0
AMBP;Day 0
AKNA;Day 0
DNM1;Day 0
ENG;Day 0
CDC37L1;Day 0
RLN2;Day 0
RIC1;Day 0
DOCK8;Day 0
KANK1;Day 0
NCS1;Day 0
MPDZ;Day 0
DDX58;Day 0
RAPGEF1;Day 0
NPDC1;Day 0
SETX;Day 0
ABCA2;Day 0
